Time,Front,Left,Right,Back,Up,X,Y,Battery
1724838046.9307919,,,,,,-0.05619985982775688,-0.04027417674660683,100
1724838047.0322502,,,,,,-0.05581734701991081,-0.0501009002327919,100
1724838047.132396,0.726,2.185,,,,-0.051982901990413666,-0.05337964743375778,100
1724838047.2326431,0.731,2.177,,,,-0.043190814554691315,-0.054408397525548935,100
1724838047.332789,0.728,2.151,,,,-0.025079995393753052,-0.05409258231520653,100
1724838047.432974,0.715,2.167,,,,-0.0021342900581657887,-0.05584028735756874,100
1724838047.5366359,0.696,2.164,,,,0.01982506923377514,-0.05838396027684212,100
1724838047.6367319,0.679,,,,,0.043410029262304306,-0.05658873915672302,100
1724838047.7382421,0.661,2.198,,,,0.06149987131357193,-0.05980580300092697,100
1724838047.839099,0.64,2.187,,,,0.08540869504213333,-0.06250137090682983,100
1724838047.9419289,0.64,2.187,,,,0.09703592956066132,-0.06600863486528397,100
1724838048.042112,0.601,,,1.588,,0.11956851184368134,-0.0662832111120224,100
1724838048.14225,0.583,2.237,,1.603,,0.1387859731912613,-0.06835862994194031,100
1724838048.243606,0.569,,,,,0.1545286625623703,-0.0683947280049324,100
1724838048.3444061,0.552,2.161,,,,0.17446047067642212,-0.06917480379343033,100
1724838048.444757,0.537,,,,,0.19559024274349213,-0.07370007038116455,100
1724838048.544925,0.521,,,,,0.21430033445358276,-0.07448959350585938,100
1724838048.645041,0.507,,,,,0.23502756655216217,-0.07749076932668686,100
1724838048.747403,0.487,,,,,0.25276023149490356,-0.07865240424871445,100
1724838048.8484921,0.473,,,1.762,,0.277967631816864,-0.08050306141376495,100
1724838048.948904,0.457,,,,,0.2990756034851074,-0.07770117372274399,100
1724838049.049105,0.443,,,1.763,,0.3192136883735657,-0.07989878952503204,100
1724838049.151654,0.429,,,,,0.3420032262802124,-0.08419795334339142,100
1724838049.251766,0.41,,,,,0.3535645306110382,-0.08625568449497223,100
1724838049.352291,0.4,,,,,0.36782312393188477,-0.09071041643619537,100
1724838049.452436,0.383,1.872,,,,0.38517993688583374,-0.09458993375301361,100
1724838049.552613,0.37,1.891,1.64,,,0.40861138701438904,-0.09879795461893082,100
1724838049.652967,0.354,,,,,0.42872801423072815,-0.10118497908115387,100
1724838049.753456,0.341,,,,,0.4412970244884491,-0.10567395389080048,100
1724838049.853665,0.327,2.063,,1.867,,0.4575781226158142,-0.10856148600578308,100
1724838049.955442,0.319,2.079,,1.861,,0.475214421749115,-0.1099163293838501,100
1724838050.0562718,0.301,2.101,,1.866,,0.48986682295799255,-0.11406415700912476,100
1724838050.1570659,0.28,2.093,,,,0.5134665966033936,-0.11715846508741379,100
1724838050.25758,0.264,2.086,,1.882,,0.5303090810775757,-0.11741244792938232,100
1724838050.357731,0.245,2.125,,1.876,,0.5574546456336975,-0.11704303324222565,100
1724838050.4596071,0.228,2.115,,1.861,,0.5793219208717346,-0.11787597090005875,100
1724838050.559816,0.209,2.138,,1.88,,0.6002739667892456,-0.11490437388420105,100
1724838056.16462,0.608,0.287,,2.131,,0.881949782371521,-0.4406473636627197,100
1724838056.2669241,0.604,0.283,,2.133,,0.8865944743156433,-0.44142648577690125,100
1724838056.367187,0.607,0.285,,2.141,,0.8847407698631287,-0.4444868862628937,100
1724838056.467393,0.605,0.285,,2.15,,0.8952276706695557,-0.4425826668739319,100
1724838056.571556,0.603,0.282,,,,0.9022114276885986,-0.43995746970176697,100
1724838056.671743,0.587,0.282,,,,0.9233379364013672,-0.43485546112060547,100
1724838056.771987,0.569,0.288,,2.193,,0.9510796070098877,-0.42942285537719727,100
1724838056.87232,0.543,0.294,,2.194,,0.9722353219985962,-0.4252542555332184,100
1724838056.973005,0.51,0.344,,2.236,,0.9975159764289856,-0.42107105255126953,100
1724838057.073741,0.476,,,,,1.0193493366241455,-0.41366448998451233,100
1724838057.174252,0.446,2.005,,2.289,,1.0393210649490356,-0.40960922837257385,100
1724838057.2752352,0.42,2.09,,,,1.059035301208496,-0.4027329087257385,100
1724838057.376085,0.397,2.082,,,,1.0801270008087158,-0.39420831203460693,100
1724838057.476361,0.37,2.05,,2.368,,1.0965783596038818,-0.3860855996608734,100
1724838057.576494,0.346,2.046,,2.342,,1.1163054704666138,-0.37581613659858704,100
1724838057.676886,0.329,2.02,,2.388,,1.1289682388305664,-0.36520814895629883,100
1724838057.7774458,0.312,2.017,,,,1.143688440322876,-0.3534773290157318,100
1724838057.877547,0.299,2.0,,,,1.1598901748657227,-0.34303656220436096,100
1724838057.9777658,0.277,2.007,,,,1.1782146692276,-0.3330494463443756,100
1724838058.078039,0.261,2.01,,,,1.2025830745697021,-0.32647112011909485,100
1724838058.178334,0.241,2.033,,2.563,,1.2282720804214478,-0.31926649808883667,100
1724838058.2785568,0.218,2.043,,,,1.2595956325531006,-0.3134324252605438,100
1724838063.880075,1.505,0.186,,,,1.5084244012832642,-0.6457281708717346,100
1724838067.7312992,1.243,2.851,,,,1.7591866254806519,-0.8096113801002502,100
1724838067.8315158,1.237,2.857,,,,1.7685966491699219,-0.8138080835342407,100
1724838067.931759,1.235,2.846,,,,1.770182728767395,-0.8109146952629089,100
1724838068.0320158,1.231,2.842,,,,1.7730387449264526,-0.8026207685470581,100
1724838068.132246,1.223,2.836,,,,1.7881852388381958,-0.7883550524711609,100
1724838068.2327402,1.223,2.832,,,,1.793925404548645,-0.7691086530685425,100
1724838068.333001,1.215,2.823,,,,1.7976411581039429,-0.7479560971260071,100
1724838068.433205,1.203,2.795,,,,1.802849292755127,-0.7227813601493835,100
1724838068.533431,1.193,2.776,,,,1.8082636594772339,-0.7048907279968262,100
1724838068.633666,1.186,2.766,,,,1.815211534500122,-0.6844400763511658,100
1724838068.734012,1.193,2.758,,,,1.8182170391082764,-0.6625450849533081,100
1724838068.8361752,1.176,2.736,,,,1.8218234777450562,-0.64552241563797,100
1724838068.9365911,1.173,2.729,,,,1.8277229070663452,-0.6353186964988708,100
1724838069.036821,1.167,2.716,,,,1.8370147943496704,-0.6258226037025452,100
1724838069.137046,1.159,2.704,,,,1.8453689813613892,-0.6123385429382324,100
1724838069.237173,1.154,2.703,,,,1.851820707321167,-0.5969744324684143,100
1724838069.337306,1.149,2.69,,,,1.8585288524627686,-0.5806379318237305,100
1724838069.437685,1.146,2.672,,,,1.866685152053833,-0.5647679567337036,100
1724838069.5378811,1.137,2.656,,,,1.8702359199523926,-0.547308087348938,100
1724838069.638047,1.126,2.65,,,,1.8741713762283325,-0.5338521599769592,100
1724838069.7381928,1.136,2.628,,,,1.8766523599624634,-0.5122741460800171,100
1724838069.838677,1.125,2.612,,,,1.880413293838501,-0.4891199469566345,100
1724838069.938834,1.115,2.606,,,,1.8828696012496948,-0.4702015221118927,100
1724838070.0390642,1.113,2.591,,,,1.8881208896636963,-0.45004838705062866,100
1724838070.139296,1.105,2.574,,,,1.8906644582748413,-0.4279620349407196,100
1724838070.2395232,1.111,2.57,,,,1.8932881355285645,-0.4096972644329071,100
1724838070.33986,1.132,2.538,,0.332,,1.8964394330978394,-0.39153265953063965,100
1724838070.440167,,2.531,,0.317,,1.899506688117981,-0.36710160970687866,100
1724838070.540489,,2.512,,0.312,,1.9028913974761963,-0.3411594033241272,100
1724838070.6406112,1.135,2.487,,0.313,,1.9038054943084717,-0.3277915418148041,100
1724838070.7407749,,2.471,,0.313,,1.9103208780288696,-0.30141642689704895,100
1724838070.8408809,1.128,2.458,,0.314,,1.9054877758026123,-0.28836163878440857,100
1724838070.941033,1.134,2.438,,0.313,,1.9019298553466797,-0.2654794156551361,100
1724838071.0412421,1.151,2.41,,0.31,,1.8949384689331055,-0.25174638628959656,100
1724838071.141431,1.16,2.375,,0.311,,1.8693491220474243,-0.22345088422298431,100
1724838071.2454479,1.218,,,0.308,,1.7810364961624146,-0.15158137679100037,100
1724838071.345653,,,,0.385,,1.0544698238372803,0.14509771764278412,100
1724838071.448229,,,0.129,,,-0.9119769930839539,1.5240362882614136,100
1724838071.5483499,,,,0.184,,-1.6074085235595703,1.848181962966919,100
1724838071.6485279,,,,0.109,,-0.021422890946269035,0.016173984855413437,100
1724838073.501745,0.012,0.023,0.016,0.028,0.007,-0.003435935126617551,-0.028304150328040123,100
1724838077.103185,0.013,0.02,0.017,0.027,0.005,-0.0005565310711972415,-0.1612376868724823,100
1724838080.7049751,0.009,0.019,0.018,0.028,0.005,-1.3007428646087646,1.5873584747314453,100
1724838084.30983,0.015,0.021,0.019,0.028,0.006,0.6394784450531006,6.327272891998291,100
1724838087.915116,0.011,0.022,0.02,0.027,0.006,0.9982261061668396,-7.484742641448975,100
1724838091.520791,0.013,0.024,0.013,0.027,0.004,0.2610625922679901,1.4488657712936401,100
1724838095.122283,0.027,0.025,0.018,0.028,0.006,-2.184305191040039,2.9060544967651367,100
1724838098.725984,0.028,0.025,0.017,0.027,0.007,-0.6695760488510132,7.200393199920654,100
1724838102.329428,0.028,0.026,0.015,0.03,0.008,-7.081583316903561e-05,-0.00033248966792598367,100
